PoreSize,Day,Replicate,PoreID,CellCount,EdgeCount,PoreArea,S1_Density,S4_EdgeDensity,S2_Coverage,S3_Circularity
300,10,2,1,66,53,95874.2629927237,0.000688401641272685,0.00306187203911044,0.218089613448796,0.866203298218644
300,10,2,2,47,45,90150.102054456,0.000521352709857269,0.00346835239874175,0.160995929144129,0.754647106490653
300,10,2,3,47,42,92538.774003203,0.000507895209400259,0.00332450284240016,0.144793629299778,0.737382657221538
300,10,2,4,91,77,95110.3307106838,0.000956783551482047,0.00389940977651185,0.271915748205517,0.907417489958686
300,10,2,5,98,74,100457.653592505,0.00097553542707185,0.00354619352701854,0.296856299530972,0.908216911065767
300,10,2,6,74,65,94580.3609406497,0.000782403442575524,0.00377087669261534,0.214304886611796,0.786440938535798
300,10,2,7,92,73,84563.6378029417,0.0010879380593156,0.0039297903030565,0.286842547672799,0.917491550594881
300,10,2,8,77,65,88911.3396048209,0.000866031266003161,0.00375589726740498,0.240557348028438,0.904383041814538
300,10,2,9,47,42,84081.0901219297,0.000558984189332503,0.0029136737027456,0.191158781074579,0.831902061802965
300,10,3,1,140,94,95792.2490131227,0.00146149611729882,0.00414258386768165,0.42151230893666,0.871844957214628
300,10,3,2,128,100,92256.5207983579,0.00138743580282813,0.00453339556512821,0.361896270858099,0.878343847561836
300,10,3,3,122,83,85386.3284293031,0.00142880016326047,0.00399464365903608,0.392586672755642,0.966725632488896
300,10,3,4,109,86,107014.497438595,0.00101855358487802,0.00378364006293258,0.294764070510783,0.8833505605724
300,10,3,5,101,77,96018.5949216987,0.00105187958730664,0.00370185785374762,0.287354267487901,0.875053860765366
300,10,3,6,116,77,93161.2951569999,0.00124515228995594,0.00348063609534785,0.363475142517685,0.944279332822639
300,10,3,7,111,84,100929.255214579,0.00109978023481903,0.00380402457257264,0.310224996403156,0.849648856837309
300,10,3,8,126,75,87035.9422852109,0.00144767778335882,0.00364578788567554,0.391293289418265,0.943982192355877
300,10,3,9,142,74,92854.7279528764,0.0015292705404518,0.00327997128251492,0.519810019783227,0.908317373594075
300,14,1,1,282,79,107514.76761121,0.00262289549859565,0.00328089437873026,0.991307000584634,0.61981011836146
300,14,1,2,250,71,93874.4502006441,0.00266313144274782,0.00315207459586365,0.999991346262018,1
300,14,1,3,232,77,105608.959566948,0.00219678331224283,0.00322450028082496,0.934489406402792,0.655099333389011
300,14,1,4,294,65,95739.5384545309,0.00307083159941937,0.00285201585577254,0.999998939355531,1
300,14,1,5,275,66,86627.9522437718,0.00317449498547706,0.00305742833369588,1,NaN
300,14,1,6,243,75,90252.216678327,0.00269245464481044,0.00340294021143766,1,NaN
300,14,1,7,261,69,100354.278787622,0.00260078596700744,0.00298417920125683,1,NaN
300,14,1,8,273,79,99331.5113844999,0.00274837255765948,0.00340399179939293,0.999998977709989,1
300,14,1,9,248,72,102881.749067975,0.00241053444606723,0.00306559288433837,0.998399065101396,0.773956175231408
300,14,2,1,184,64,71924.4131433994,0.0025582412418597,0.00326913849564273,1,NaN
300,14,2,2,189,73,89978.553277107,0.00210050054281198,0.00329314574944372,0.741667870459819,0.971429205871232
300,14,2,3,212,70,79199.055817963,0.00267679958820818,0.00340994288630304,1,NaN
300,14,2,4,199,73,85033.2707040498,0.00234026044573306,0.00341856745151703,1,NaN
300,14,2,5,146,81,99516.1450716004,0.001467098629021,0.003474865531134,0.524417047954515,0.98977142938346
300,14,2,6,209,66,86259.4367629752,0.00242292330953068,0.00307847726689699,0.978473459114758,0.506567074694432
300,14,2,7,171,74,80181.4103069108,0.00213266390981978,0.00357949416820066,0.889018348345002,0.893285452527127
300,14,2,8,112,74,97744.0685586143,0.00114584958096804,0.00318866757851963,0.437006070264638,0.982786644159426
300,14,2,9,211,64,89487.2744867898,0.00235787715303753,0.00291071542315135,0.987894468085106,0.0984845355912467
300,14,3,1,254,80,87151.4043992481,0.00291446823778541,0.00366593196577227,1,NaN
300,14,3,2,292,95,95158.7179781193,0.00306855752372728,0.00415747577146062,0.997579764784724,0.432896349913214
300,14,3,3,253,77,84865.3993356172,0.00298119141582615,0.00365656512192389,0.997620053294533,0.51058365397062
